Year,Average Minimum Wage,Average CPI Food
2000,6.1625,93.29166666666667
2001,6.458333333333333,97.375
2002,6.272222222222222,100.0
2003,7.216666666666666,101.73333333333333
2004,6.8,103.80833333333334
2005,6.944444444444445,106.39166666666667
2006,7.240909090909091,108.93333333333334
2007,7.680833333333333,111.80833333333334
2008,8.39846153846154,115.73333333333333
2009,8.703076923076923,121.38333333333333
2010,9.286923076923078,123.06666666666666
2011,9.63076923076923,127.74166666666667
2012,9.987,130.775
2013,10.278,132.39166666666668
2014,10.424545454545454,135.5
2015,10.90090909090909,140.525
2016,11.19,142.58333333333334
2017,11.340000000000002,142.66666666666666
2018,12.165,145.30833333333334
2019,12.373000000000001,150.21666666666667
2020,12.9925,153.70833333333334
2021,13.385384615384615,157.54166666666666
2022,14.046428571428573,171.51666666666665
2023,15.204666666666666,184.33333333333334
2024,16.303076923076922,189.05555555555554
